ligand,target,affinity,error,kind
AChE_ZINC_4038896,AChE,-9.27,,candidate
AChE_ZINC_19633502,AChE,-8.06,,candidate
AChE_ZINC_219255674,AChE,-8.83,,candidate
AChE_ZINC_170597523,AChE,-9.24,,candidate
MAO-B_ZINC_19721000,MAO-B,-7.79,,candidate
MAO-B_ZINC_3181507,MAO-B,-9.82,,candidate
MAO-B_ZINC_62117537,MAO-B,-9.75,,candidate
MAO-B_ZINC_16604332,MAO-B,-8.55,,candidate
POS_AChE_donepezil,AChE,-11.46,,positive_control
POS_MAOB_safinamide,MAO-B,-9.96,,positive_control
NEG_ibuprofen,AChE,-8.46,,negative_control
NEG_ibuprofen,MAO-B,-8.0,,negative_control
NEG_glucose,AChE,-5.83,,negative_control
NEG_glucose,MAO-B,-5.63,,negative_control
DECOY_0_0,AChE,-9.04,,decoy
DECOY_0_0,MAO-B,-6.38,,decoy
DECOY_1_1,AChE,-10.11,,decoy
DECOY_1_1,MAO-B,-3.49,,decoy
DECOY_2_2,AChE,-7.76,,decoy
DECOY_2_2,MAO-B,-7.33,,decoy
DECOY_3_3,AChE,-7.82,,decoy
DECOY_3_3,MAO-B,-6.82,,decoy
DECOY_5_5,AChE,-8.62,,decoy
DECOY_5_5,MAO-B,-7.8,,decoy
DECOY_6_6,AChE,-10.29,,decoy
DECOY_6_6,MAO-B,-10.18,,decoy
DECOY_7_7,AChE,-10.5,,decoy
DECOY_7_7,MAO-B,-8.77,,decoy
DECOY_8_8,AChE,-8.11,,decoy
DECOY_8_8,MAO-B,-4.93,,decoy
DECOY_9_9,AChE,-7.99,,decoy
DECOY_9_9,MAO-B,-5.95,,decoy
DECOY_10_10,AChE,-7.83,,decoy
DECOY_10_10,MAO-B,-7.91,,decoy
DECOY_11_11,AChE,-11.31,,decoy
DECOY_11_11,MAO-B,-10.94,,decoy
DECOY_12_12,AChE,-7.14,,decoy
DECOY_12_12,MAO-B,-6.83,,decoy
DECOY_13_13,AChE,-9.23,,decoy
DECOY_13_13,MAO-B,-4.02,,decoy
DECOY_14_14,AChE,-10.97,,decoy
DECOY_14_14,MAO-B,-9.61,,decoy
