target,drug,affinity,decoy_mean,decoy_median,z_score,decoys_stronger,n_decoys,enrichment_p
InhA,TCS-2314,-11.19,-8.05,-7.98,-2.58,0,37,0.0004
InhA,radiprodil,-10.55,-8.05,-7.98,-2.05,0,37,0.0004
InhA,PK-THPP,-10.15,-8.05,-7.98,-1.72,1,37,0.0004
InhA,AK-7,-10.09,-8.05,-7.98,-1.67,1,37,0.0004
InhA,PF-750,-9.653,-8.05,-7.98,-1.31,3,37,0.0004
InhA,OAC2,-9.1,-8.05,-7.98,-0.86,10,37,0.0004
TEM1_blac,caricotamide,-6.042,-6.27,-6.25,0.4,24,37,0.9536
TEM1_blac,GNE-7915,-5.724,-6.27,-6.25,0.98,31,37,0.9536
TEM1_blac,ISX-9,-5.506,-6.27,-6.25,1.37,33,37,0.9536
EcDHFR,chuanxiongzine,-4.717,-7.62,-7.56,2.61,37,37,
