kind,id,affinity,decoy_mean,decoy_median,decoy_5pct,z_score,decoys_stronger,n_decoys,np_vs_decoy_MWU_p
NP_HEADLINE,CNP0015547.1,-11.28,-8.63,-8.69,-10.05,-2.58,0,37,0.1636
NP_ORPHAN,CNP0541259.0,-10.11,-8.63,-8.69,-10.05,-1.44,2,37,0.1636
NP_ORPHAN,CNP0032950.0,-9.824,-8.63,-8.69,-10.05,-1.16,4,37,0.1636
NP_ORPHAN,CNP0508275.0,-9.232,-8.63,-8.69,-10.05,-0.59,10,37,0.1636
NP_ORPHAN,CNP0023898.0,-9.141,-8.63,-8.69,-10.05,-0.5,10,37,0.1636
NP_ORPHAN,CNP0055172.0,-8.975,-8.63,-8.69,-10.05,-0.34,15,37,0.1636
NP_ORPHAN,CNP0035833.0,-8.826,-8.63,-8.69,-10.05,-0.19,17,37,0.1636
POSITIVE,CHEMBL1236225,-8.232,-8.63,-8.69,-10.05,0.39,24,37,0.1636
NP_ORPHAN,CNP0548518.0,-8.227,-8.63,-8.69,-10.05,0.39,24,37,0.1636
POSITIVE,CHEMBL4177124,-8.082,-8.63,-8.69,-10.05,0.53,26,37,0.1636
NP_ORPHAN,CNP0103314.0,-7.468,-8.63,-8.69,-10.05,1.13,33,37,0.1636
