drug_id,source,inchikey,nn_analog,target_chembl_id,sim_score,org_class,target_name,calibrated,wall,depth
(R)-(-)-rolipram,broad_hub,HJORMJIFDVBMOB-LBPRGKRZSA-N,1.0,CHEMBL2026,0.3272727131843567,bacterial,Beta-lactamase,0.38,above,above(>=0.5)
(S)-(+)-rolipram,broad_hub,HJORMJIFDVBMOB-GFCCVEGCSA-N,1.0,CHEMBL2026,0.3272727131843567,bacterial,Beta-lactamase,0.38,above,above(>=0.5)
"1,3-dipropyl-8-phenylxanthine",broad_hub,CLIGSMOZKDCDRZ-UHFFFAOYSA-N,0.4482758641242981,CHEMBL2026,0.3484848439693451,bacterial,Beta-lactamase,0.38,below,mid(0.35-0.45)
"1,5-dicaffeoylquinic-acid",broad_hub,YDDUMTOHNYZQPO-PSEXTPKNSA-N,1.0,CHEMBL3471,1.0,viral,Human immunodeficiency virus type 1 integrase,0.8,above,above(>=0.5)
1-EBIO,broad_hub,CXUCKELNYMZTRT-UHFFFAOYSA-N,0.6363636255264282,CHEMBL2026,0.5428571701049805,bacterial,Beta-lactamase,0.75,above,above(>=0.5)
1-ethyl-2-pyrrolidone,broad_hub,ZFPGARUNNKGOBB-UHFFFAOYSA-N,0.517241358757019,CHEMBL2026,0.517241358757019,bacterial,Beta-lactamase,0.75,above,above(>=0.5)
1-hexadecanol,broad_hub,BXWNKGSJHAJOGX-UHFFFAOYSA-N,0.5,CHEMBL2026,0.4230769276618957,bacterial,Beta-lactamase,0.38,above,edge(0.45-0.5)
1-octacosanol,broad_hub,CNNRPFQICPFDPO-UHFFFAOYSA-N,0.5,CHEMBL2026,0.4230769276618957,bacterial,Beta-lactamase,0.38,above,edge(0.45-0.5)
1-octanol,broad_hub,KBPLFHHGFOOTCA-UHFFFAOYSA-N,0.5,CHEMBL2026,0.4230769276618957,bacterial,Beta-lactamase,0.38,above,edge(0.45-0.5)
10-deacetylbaccatin,broad_hub,YWLXLRUDGLRYDR-ZHPRIASZSA-N,1.0,CHEMBL2026,1.0,bacterial,Beta-lactamase,0.8,above,above(>=0.5)
1400W,broad_hub,RODUKNYOEVZQPR-UHFFFAOYSA-N,1.0,CHEMBL4523582,0.4000000059604645,viral,Replicase polyprotein 1ab,0.38,above,above(>=0.5)
"16,16-dimethylprostaglandin-e2",broad_hub,QAOBBBBDJSWHMU-WMBBNPMCSA-N,0.7288135886192322,CHEMBL2026,0.3783783912658691,bacterial,Beta-lactamase,0.38,above,above(>=0.5)
17-PA,broad_hub,SINAMTXBCYKFDL-WBJZGETLSA-N,0.5593220591545105,CHEMBL2026,0.5384615659713745,bacterial,Beta-lactamase,0.75,above,above(>=0.5)
2'-C-methylguanosine,broad_hub,NVKAMPJSWMHVDK-GITKWUPZSA-N,0.5789473652839661,CHEMBL4296320,0.5789473652839661,viral,RNA-directed RNA polymerase,0.75,above,above(>=0.5)
