kind,id,affinity,decoy_mean,decoy_median,decoy_5pct,z_score,decoys_stronger,n_decoys,np_vs_decoy_MWU_p
POSITIVE,CHEMBL175691,-7.602,-6.8,-6.85,-8.08,-0.89,6,33,0.7972
NP_ORPHAN,CNP0147282.0,-6.884,-6.8,-6.85,-8.08,-0.09,16,33,0.7972
NP_ORPHAN,CNP0108034.1,-6.82,-6.8,-6.85,-8.08,-0.02,17,33,0.7972
NP_ORPHAN,CNP0146395.1,-6.262,-6.8,-6.85,-8.08,0.61,24,33,0.7972
NP_ORPHAN,CNP0548905.0,-6.243,-6.8,-6.85,-8.08,0.63,26,33,0.7972
POSITIVE,efavirenz,-6.14,-6.8,-6.85,-8.08,0.75,26,33,0.7972
POSITIVE,CHEMBL441158,-5.976,-6.8,-6.85,-8.08,0.93,29,33,0.7972
DRUG_NUCLEOSIDE,broxuridine,-5.782,-6.8,-6.85,-8.08,1.15,30,33,0.7972
DRUG_NUCLEOSIDE,idoxuridine,-5.708,-6.8,-6.85,-8.08,1.23,30,33,0.7972
DRUG_NUCLEOSIDE,floxuridine,-5.661,-6.8,-6.85,-8.08,1.28,30,33,0.7972
DRUG_NUCLEOSIDE,KP-1212,-5.037,-6.8,-6.85,-8.08,1.98,31,33,0.7972
