metabolite,chebi_id,met_smiles,target_chembl_id,target_name,target_class,analog_similarity,nn_analog,metabolite_promiscuity,tier
ascomycin,CHEBI:29582,CC[C@@H]1C=C(C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,CHEMBL256,Adenosine receptor A3,GPCR (aminergic/purinergic),0.9,0.9,5,A (0.7-1.0)
leptomycin A,CHEBI:52650,CC(=C[C@@H](C)C(=O)[C@@H](C)[C@H](O)[C@@H](C)C/C(C)=C/C(=O)O)/C=C/C[C@@H](C)/C=C(C)/C=C/[C@@H]1OC(=O)C=C[C@@H]1C,CHEMBL3577,Aldehyde dehydrogenase 1A1,Enzyme (other),0.8840579710144928,0.8840579710144928,1,A (0.7-1.0)
kanamycin A,CHEBI:17630,NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](O)[C@@H](O)[C@@H]1O,CHEMBL2903,Polyunsaturated fatty acid lipoxygenase ALOX15,Enzyme (other),0.8809523809523809,0.8809523809523809,9,A (0.7-1.0)
tacrolimus (anhydrous),CHEBI:61049,C=CC[C@@H]1C=C(C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,CHEMBL1902,Peptidyl-prolyl cis-trans isomerase FKBP1A,Other,0.8791208791208791,0.8791208791208791,5,A (0.7-1.0)
tacrolimus (anhydrous),CHEBI:61049,C=CC[C@@H]1C=C(C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,CHEMBL1947,Thyroid hormone receptor beta,Nuclear receptor,0.8791208791208791,0.8791208791208791,5,A (0.7-1.0)
27-O-demethylrifamycin SV,CHEBI:34311,CC(=O)O[C@H]1[C@H](C)[C@H](O)[C@H](C)[C@@H](O)[C@@H](C)/C=C/C=C(/C)C(=O)Nc2cc(O)c3c4c(c(C)c(O)c3c2O)O[C@](C)(O/C=C/[C@H](O)[C@H]1C)C4=O,CHEMBL340,Cytochrome P450 3A4,CYP (metabolism),0.8765432098765432,0.8765432098765432,12,A (0.7-1.0)
lasalocid,CHEBI:92181,CC[C@@H](C(=O)[C@@H](C)[C@@H](O)[C@H](C)CCc1ccc(C)c(O)c1C(=O)O)[C@H]1O[C@](CC)([C@H]2CC[C@](O)(CC)[C@H](C)O2)C[C@@H]1C,CHEMBL3401,Nuclear receptor subfamily 1 group I member 2,Nuclear receptor,0.875,0.875,2,A (0.7-1.0)
lasalocid,CHEBI:92181,CC[C@@H](C(=O)[C@@H](C)[C@@H](O)[C@H](C)CCc1ccc(C)c(O)c1C(=O)O)[C@H]1O[C@](CC)([C@H]2CC[C@](O)(CC)[C@H](C)O2)C[C@@H]1C,CHEMBL340,Cytochrome P450 3A4,CYP (metabolism),0.875,0.875,2,A (0.7-1.0)
sirolimus,CHEBI:9168,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)C=C(C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C1C,CHEMBL2842,Serine/threonine-protein kinase mTOR,Kinase,0.8727272727272727,0.8727272727272727,5,A (0.7-1.0)
rifampicin,CHEBI:28077,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)C(C)=CC=C[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Transporter/channel,0.87,0.87,12,A (0.7-1.0)
